,S.No.,Name,CMP Rs.,Prom. Hold. %,Debt Rs.Cr.,NP Qtr Rs.Cr.,6mth return %,1Yr return %,3Yrs return %,All time high Rs.,All time low Rs.,P/E,EPS 12M Rs.,Vol 1d,IV Rs.,PB X PE,CMP / BV,Mar Cap Rs.Cr.,Sector
693,20.0,Hawkins Cookers,7840.0,56.03,26.41,21.2,-7.22,22.43,13.69,9200.0,39.25,36.24,216.42,1070,2647.82,456.62,12.6,4147.36,Consumer Durables
695,22.0,KDDL Ltd,2756.0,50.43,321.4,47.15,0.13,4.74,45.55,3815.25,10.36,34.51,79.66,9340,1843.09,140.46,4.07,3447.28,Consumer Durables
696,23.0,Pokarna,1039.95,56.66,376.4,50.6,0.86,108.76,22.2,1451.7,4.41,22.27,46.5,215873,403.39,107.34,4.82,3226.0,Consumer Durables
697,24.0,Wonder Electric.,167.7,71.79,50.67,5.09,25.07,79.04,111.91,201.8,2.67,161.28,1.04,244449,10.61,4017.48,24.91,2243.39,Consumer Durables
698,25.0,Timex Group,212.75,74.93,12.44,9.24,9.86,59.36,50.95,240.0,7.0,68.35,3.11,53824,59.92,1747.71,25.57,2147.71,Consumer Durables
699,26.0,Stove Kraft,625.3,55.84,294.52,12.14,-13.98,31.86,1.58,1134.85,353.1,52.1,12.02,106855,259.63,236.01,4.53,2069.39,Consumer Durables
701,28.0,Carysil,650.0,41.37,260.26,12.53,-15.87,-30.71,-1.98,1150.95,1.34,30.46,22.01,126087,467.62,113.62,3.73,1848.58,Consumer Durables
702,29.0,Hind Rectifiers,1071.95,43.98,164.27,10.15,-4.0,51.13,77.74,1591.0,13.31,49.41,21.72,107359,321.53,568.22,11.5,1841.51,Consumer Durables
703,30.0,MIC Electronics,61.0,66.48,42.53,2.17,-28.69,23.36,55.2,217.56,0.35,26.32,2.5,717351,13.39,179.24,6.81,1469.21,Consumer Durables
704,31.0,RIR Power Electr,1886.0,61.68,12.67,1.37,-44.77,3.27,96.1,4878.6,4.2,166.35,12.2,29150,275.38,2556.8,15.37,1447.27,Consumer Durables
705,32.0,Butterfly Gan Ap,754.0,75.0,12.23,9.03,-6.83,-1.66,-18.78,1903.35,1.9,41.5,18.19,12450,332.88,171.81,4.14,1349.99,Consumer Durables
708,35.0,Permanent Magnet,777.6,58.01,27.55,2.04,-5.45,-27.74,27.86,1721.0,4.89,40.07,19.41,2508,777.7587,190.73,4.76,668.73,Consumer Durables
710,37.0,BPL,88.51,63.13,8.15,0.31,-12.74,-18.46,9.16,176.65,7.5,23.88,3.71,1806686,40.21,38.69,1.62,433.36,Consumer Durables
711,38.0,Parin Enterpris.,388.0,73.02,94.63,5.8,3.74,141.37,37.27,410.95,40.85,62.43,5.66,500,61.5,421.4,6.75,431.38,Consumer Durables
714,41.0,MIRC Electronics,13.6,53.36,113.95,-5.27,-32.94,-39.19,-2.8,64.7,3.37,-5.762711864406779,-2.36,165528,13.599999999999998,-13.888135593220339,2.41,315.28,Consumer Durables
715,42.0,Cosmo Ferrites,246.0,63.65,72.72,-0.45,-11.95,25.77,-23.26,673.0,3.0,-63.896103896103895,-3.85,3927,246.0,-709.8857142857142,11.11,295.94,Consumer Durables
716,43.0,Universus Photo,235.15,74.55,0.0,-88.98,-40.02,-34.69,-17.62,993.0,38.0,4.01,59.0,3434,682.25,0.96,0.24,258.9,Consumer Durables
718,45.0,B C C Fuba India,131.95,32.82,10.02,0.99,57.29,88.93,86.17,167.0,1.45,51.8,2.55,10688,16.82,492.1,9.5,202.02,Consumer Durables
720,47.0,Maruti Interior,109.25,74.98,6.59,1.62,22.11,7.64,43.88,229.5,26.75,61.32,1.78,2000,82.35,310.89,5.07,164.96,Consumer Durables
721,48.0,Sonam,40.39,55.15,18.39,1.7,-53.57,-5.96,22.56,96.7,7.7,25.54,1.58,113045,22.32,65.64,2.57,161.69,Consumer Durables
723,50.0,Pacific Inds,222.0,71.6,79.72,1.32,-26.65,13.85,-6.89,530.18,33.03,15.21,14.6,2016,272.33,5.32,0.35,153.02,Consumer Durables
725,52.0,Inflame Applian.,191.8,44.72,32.57,0.81,-42.23,-58.4,-17.65,730.0,19.43,77.66,2.52,7500,84.65,229.1,2.95,143.68,Consumer Durables
726,53.0,Calcom Vision,99.29,64.44,51.48,0.23,-16.6,-26.37,-4.92,205.0,1.64,51.33,0.59,1019,16.07,93.42,1.82,138.6,Consumer Durables
727,54.0,Priti Internati.,100.45,64.6,0.0,1.45,-35.48,-40.61,11.61,300.05,15.82,25.5,3.94,30199,213.65,49.22,1.93,134.14,Consumer Durables
729,56.0,Omfurn India,108.0,51.12,14.53,3.4,43.43,47.14,116.05,120.6,3.75,30.79,3.51,68400,68.4,70.2,2.28,127.17,Consumer Durables
734,61.0,Delta Manufact.,61.0,72.12,39.11,-5.85,-31.29,-40.02,-10.24,140.0,8.95,-4.52186805040771,-13.49,3106,61.0,-14.334321719792438,3.17,66.09,Consumer Durables
735,62.0,Aro Granite Inds,37.73,41.08,159.65,0.02,-22.58,-26.58,-6.77,103.9,14.53,-8.983333333333333,-4.2,20551,37.73,-2.7848333333333333,0.31,56.26,Consumer Durables
737,64.0,Tirupati Foam,124.95,72.14,40.59,0.6,-1.61,54.55,10.34,144.9,26.3,27.0,4.63,1,56.73,47.52,1.76,55.07,Consumer Durables
738,65.0,Gorani Industrie,86.6,62.26,10.88,0.41,-16.04,-16.73,-7.62,296.35,7.08,42.22,2.05,19,26.33,155.37,3.68,46.44,Consumer Durables
739,66.0,Incap,88.75,66.91,11.49,0.2,-12.0,35.17,30.48,132.0,5.62,50.59,1.75,2577,21.52,136.09,2.69,45.53,Consumer Durables
740,67.0,Madhav Marbles,44.65,43.88,8.67,-0.32,-0.29,11.2,-5.27,171.35,9.5,52.22,0.85,21503,30.8,16.71,0.32,39.69,Consumer Durables
742,69.0,Jaipan Industrie,33.14,40.09,6.66,0.05,4.51,-18.61,28.28,245.0,4.75,-1.983243566726511,-16.71,1445,33.14,-9.420406941950926,4.75,20.22,Consumer Durables
745,72.0,Shashwat Furnis.,43.0,73.42,1.33,0.06,-2.05,8.59,0.31,49.0,27.5,-25.595238095238095,-1.68,0,43.0,-70.38690476190476,2.75,8.98,Consumer Durables
746,73.0,Milestone Furn.,4.41,0.0,0.42,-0.35,-52.07,-36.91,-20.99,45.45,0.0,-6.485294117647059,-0.68,6000,4.41,-1.0376470588235294,0.16,4.1,Consumer Durables
747,1.0,TCS,3562.95,71.77,9392.0,12293.0,-14.1,-8.71,1.05,4592.25,103.84,26.56,134.2,1906590,1619.72,361.48,13.61,1288800.48,IT-Software
748,2.0,Infosys,1589.75,14.6,8227.0,7038.0,-14.73,9.4,1.54,2006.8,117.26,24.9,64.32,4807084,1061.47,171.56,6.89,660162.74,IT-Software
749,3.0,HCL Technologies,1659.75,60.81,6276.0,4309.0,-10.71,23.12,15.3,2012.2,21.67,25.89,64.12,2692726,850.85,167.51,6.47,450387.29,IT-Software
750,4.0,Wipro,254.5,72.73,19203.5,3588.1,-10.25,9.51,1.48,369.93,20.36,20.3,12.54,6837853,138.66,65.57,3.23,266618.33,IT-Software
751,5.0,Tech Mahindra,1615.15,35.01,2025.2,1141.9,-4.18,23.63,10.51,1838.0,50.93,37.22,43.43,1175843,499.91,215.13,5.78,158246.28,IT-Software
752,6.0,LTIMindtree,5040.4,68.57,2187.3,1128.6,-15.79,5.8,5.64,7595.25,595.0,32.5,155.21,194681,3316.76,213.85,6.58,149461.08,IT-Software
753,7.0,Persistent Sys,5700.75,30.66,310.9,395.76,-0.26,61.52,45.17,6788.9,70.2,63.53,90.54,420884,2037.88,886.24,13.95,88944.52,IT-Software
754,8.0,PB Fintech.,1752.5,0.0,322.22,170.66,1.84,31.23,35.98,2254.95,356.2,255.07,7.69,4234027,268.91,3190.93,12.51,80507.49,IT-Software
755,9.0,Oracle Fin.Serv.,8696.05,72.59,45.6,643.9,-26.1,10.2,38.59,13220.0,405.0,31.72,273.95,133961,3719.32,286.43,9.03,75470.59,IT-Software
756,10.0,Coforge,8424.2,0.0,1070.4,307.3,4.36,80.01,28.83,10026.8,41.5,67.4,121.43,249475,3825.36,595.14,8.83,56336.42,IT-Software
757,11.0,Mphasis,2601.9,40.14,1888.23,446.49,-8.41,9.68,0.33,3659.75,106.0,29.11,89.55,418288,1468.29,149.33,5.13,49542.43,IT-Software
758,12.0,L&T Technology,4475.8,73.66,577.6,310.2,-13.46,-0.74,6.74,6000.0,671.0,37.49,119.64,140307,2065.64,292.05,7.79,47377.32,IT-Software
760,14.0,Tata Elxsi,6215.0,43.91,192.29,172.42,-2.55,-14.9,-8.83,10760.4,37.5,49.34,126.03,150484,2500.92,668.06,13.54,38729.27,IT-Software
761,15.0,KPIT Technologi.,1365.15,39.47,344.87,244.73,0.58,-10.76,39.36,1928.75,34.35,44.59,30.63,1319906,600.29,572.98,12.85,37435.5,IT-Software
764,18.0,Firstsour.Solu.,368.95,53.66,2569.26,160.69,8.41,85.07,47.48,422.8,5.55,44.34,8.41,1802500,153.28,282.0,6.36,26047.46,IT-Software
765,19.0,Affle 3i,1718.45,55.02,82.1,103.07,8.85,57.23,15.76,1884.0,153.18,63.2,27.18,457747,915.17,517.61,8.19,24135.61,IT-Software
767,21.0,Zensar Tech.,797.85,49.07,125.2,176.4,13.19,24.78,38.11,985.0,6.47,27.89,28.61,911710,391.63,124.11,4.45,18122.17,IT-Software
768,22.0,Newgen Software,1159.05,53.78,53.48,108.34,-6.17,17.8,79.57,1798.9,48.0,52.1,22.26,322887,482.67,563.72,10.82,16426.47,IT-Software
769,23.0,BLS Internat.,393.95,70.38,359.06,145.22,1.16,24.13,66.94,522.3,6.75,31.92,12.34,8875643,278.05,299.09,9.37,16220.53,IT-Software
770,24.0,eClerx Services,3299.75,53.81,358.13,152.51,-1.13,37.47,30.39,3877.0,24.1,29.83,110.37,324831,2133.68,209.41,7.02,16142.1,IT-Software
771,25.0,Intellect Design,1069.0,29.91,71.78,136.4,48.75,22.34,18.77,1199.0,43.8,44.65,23.97,1121769,475.74,237.98,5.33,14856.24,IT-Software
772,26.0,Cyient,1304.8,23.29,513.4,186.4,-27.6,-26.07,18.51,2458.95,34.02,23.54,55.45,387073,953.61,64.26,2.73,14491.58,IT-Software
773,27.0,Birlasoft Ltd,429.45,40.63,145.35,116.94,-23.16,-30.19,3.83,861.85,6.29,20.77,20.81,1512159,405.6,76.02,3.66,11933.43,IT-Software
774,28.0,C.E. Info System,2101.0,51.65,29.85,49.02,20.56,4.99,16.87,2747.85,983.45,77.75,27.05,242209,741.97,1124.27,14.46,11444.36,IT-Software
775,29.0,Sonata Software,397.95,28.17,516.02,107.53,-28.85,-25.21,16.88,870.0,4.87,26.27,15.14,2648063,340.66,171.81,6.54,11158.11,IT-Software
776,30.0,Happiest Minds,604.65,44.22,1243.59,34.0,-17.83,-25.83,-13.82,1580.8,285.55,47.75,12.13,325690,408.94,279.34,5.85,9207.3,IT-Software
777,31.0,Latent View,421.5,65.24,28.76,51.26,-7.35,-9.43,0.8,755.0,305.25,50.22,8.44,174762,260.57,291.28,5.8,8713.05,IT-Software
778,32.0,Tanla Platforms,573.0,44.1,64.04,117.33,-19.86,-35.86,-24.03,2096.75,2.4,15.22,37.68,2813990,937.21,51.75,3.4,7717.73,IT-Software
779,33.0,Aurionpro Sol.,1395.0,26.88,30.5,50.51,-9.31,9.62,103.08,1991.75,4.59,41.28,33.72,149097,935.07,211.35,5.12,7686.38,IT-Software
780,34.0,Black Box,440.45,70.53,720.63,56.08,-19.88,83.25,36.82,715.8,6.2,31.18,11.0,264589,200.39,365.12,11.71,7448.57,IT-Software
781,35.0,Mastek,2342.4,35.97,583.13,81.07,-22.16,-5.42,-1.26,3669.0,72.25,19.57,121.5,70362,2856.12,57.54,2.94,7257.63,IT-Software
783,37.0,Route Mobile,984.0,74.86,468.17,60.28,-30.58,-31.63,-13.36,2389.0,625.0,18.63,50.61,158656,1855.92,47.51,2.55,6188.87,IT-Software
786,40.0,Rategain Travel,489.0,48.17,17.15,56.54,-31.62,-32.39,15.52,921.7,235.0,28.3,17.32,147909,424.07,104.71,3.7,5778.74,IT-Software
787,41.0,E2E Networks,2822.1,43.6,72.96,13.61,-35.98,174.76,177.47,5487.65,13.3,118.66,23.78,143084,1476.68,420.06,3.54,5635.13,IT-Software
788,42.0,Infibeam Avenues,18.97,27.36,136.45,64.4,-30.65,-38.63,8.64,55.2,6.0,23.49,0.81,6985221,28.5,34.53,1.47,5288.81,IT-Software
789,43.0,MPS,2579.8,68.34,5.77,40.71,25.28,56.76,65.17,3079.0,27.25,33.86,76.32,42925,972.33,335.55,9.91,4420.95,IT-Software
790,44.0,Magellanic Cloud,75.5,58.3,256.64,22.59,-5.7,-38.35,64.08,143.2,0.2,42.98,1.76,504952,36.43,366.62,8.53,4413.34,IT-Software
791,45.0,Cigniti Tech.,1557.75,55.16,27.93,73.15,13.67,20.01,59.82,1980.75,90.65,19.26,73.06,127913,1326.05,85.32,4.43,4261.81,IT-Software
792,46.0,R Systems Intl.,358.6,51.9,72.88,38.59,-25.58,-17.53,16.79,599.0,3.9,29.84,12.02,77663,192.42,202.91,6.8,4246.18,IT-Software
793,47.0,Network People,2054.25,67.55,0.11,5.13,-30.36,48.28,333.68,3577.0,16.35,82.3,25.24,10012,458.14,3549.6,43.13,4026.99,IT-Software
794,48.0,AXISCADES Tech.,939.85,59.49,255.4,14.76,83.3,54.57,84.31,985.0,7.85,74.05,12.55,153407,290.34,486.51,6.57,3975.22,IT-Software
795,49.0,63 Moons Tech.,818.3,45.63,6.81,-23.2,43.13,100.85,73.68,3048.0,39.55,-104.2420382165605,-7.85,387275,818.3,-118.83592356687896,1.14,3774.0,IT-Software
796,50.0,Datamatics Glob.,618.9,66.33,189.92,44.88,15.44,10.0,27.72,791.5,11.0,20.45,34.65,365095,427.77,54.81,2.68,3664.13,IT-Software
797,51.0,Moschip Tech.,182.95,44.51,91.84,11.06,-17.58,31.61,51.47,326.8,1.3,136.72,1.35,1405003,32.67,1629.7,11.92,3505.3,IT-Software
798,52.0,Nucleus Soft.,1183.95,73.6,2.0,64.77,4.08,-11.38,44.39,1830.0,38.75,19.48,60.88,324879,650.86,75.78,3.89,3175.94,IT-Software
799,53.0,Technvision Ven.,5045.0,74.32,2.27,1.36,43.67,140.75,169.67,8000.0,0.97,322.96,15.63,484,343.35,64585.54,199.98,3168.26,IT-Software
800,54.0,Genesys Intl.,705.0,33.08,73.43,20.71,-4.92,27.85,12.0,1055.0,6.42,54.26,13.15,383274,154.74,297.89,5.49,2812.85,IT-Software
801,55.0,RPSG Ventures,845.45,63.51,6152.0,12.32,-12.07,23.16,16.94,1360.0,109.0,17.43,-14.82,42404,-258.3126,18.3,1.05,2798.59,IT-Software
802,56.0,Ceinsys Tech,1548.15,51.86,49.15,21.87,23.03,184.25,108.97,2105.0,39.55,42.7,36.26,33334,510.01,280.11,6.56,2700.15,IT-Software
803,57.0,Hinduja Global,518.0,67.98,2171.73,-8.59,-27.87,-37.17,-17.16,1974.0,46.0,11.580594679186229,44.73,32505,774.24,3.5899843505477307,0.31,2408.34,IT-Software
804,58.0,Saksoft,181.3,66.68,53.2,27.02,-13.15,-16.48,43.52,321.76,2.14,23.56,7.69,536437,153.12,99.89,4.24,2402.21,IT-Software
805,59.0,Sasken Technol.,1505.0,43.07,25.58,11.51,-26.95,-3.72,24.78,2399.8,35.3,45.22,33.25,26657,560.97,130.69,2.89,2273.9,IT-Software
806,60.0,Accelya Solution,1387.1,74.66,29.2,30.25,-6.71,-18.29,12.23,2128.25,16.35,16.4,84.59,18637,1104.59,117.75,7.18,2069.75,IT-Software
807,61.0,ASM Technologies,1597.25,57.09,89.43,5.19,15.73,36.06,53.18,1864.0,7.05,253.07,7.3,25238,169.04,3325.34,13.14,1880.32,IT-Software
809,63.0,One Point One,63.25,52.3,80.52,8.43,-3.21,13.25,81.66,77.5,0.98,52.36,1.33,5385750,14.56,228.29,4.36,1626.97,IT-Software
810,64.0,Quick Heal Tech,299.7,71.82,0.09,-3.25,-48.36,-35.85,19.13,825.9,62.45,321.12,0.93,244124,25.24,1175.3,3.66,1618.48,IT-Software
813,67.0,Expleo Solutions,940.0,71.05,32.86,19.78,-23.38,-29.99,-9.88,1874.0,30.1,15.39,61.13,23721,1389.53,33.55,2.18,1460.21,IT-Software
814,68.0,Alldigi Tech,965.0,73.39,63.2,19.29,8.38,-4.81,24.77,1251.9,9.0,20.67,54.66,13783,851.41,117.2,5.67,1457.51,IT-Software
815,69.0,Dynacons Sys.,1127.25,60.95,67.6,18.31,-12.25,-9.17,59.04,1736.9,2.21,20.92,53.91,27547,1138.29,155.44,7.43,1433.83,IT-Software
817,71.0,Ramco Systems,379.6,53.21,59.96,-10.1,-7.67,3.06,12.09,1113.0,38.13,-21.828637147786086,-17.39,66653,379.6,-99.10201265094884,4.54,1414.87,IT-Software
820,74.0,Colab Platforms,135.1,33.88,0.0,0.92,797.08,648.48,215.79,152.35,1.53,689.01,0.21,2178,5.7,41864.25,60.76,1378.02,IT-Software
822,76.0,Kellton Tech,118.25,40.82,140.66,20.92,-17.26,20.82,16.53,184.3,1.0,13.65,8.67,864774,100.21,32.21,2.36,1152.6,IT-Software
823,77.0,Vakrangee,10.5,40.05,4.59,2.52,-54.02,-58.45,-28.75,466.34,0.42,177.64,0.06,5642814,0.96,998.34,5.62,1135.08,IT-Software
824,78.0,Allied Digital,200.1,51.19,54.87,17.71,-20.35,41.89,13.33,564.51,7.4,20.94,9.66,254046,242.11,39.79,1.9,1126.91,IT-Software
825,79.0,Xchanging Sol.,95.85,75.0,105.57,14.48,-10.07,-21.35,9.31,365.0,6.2,22.53,4.25,282613,38.09,72.77,3.23,1065.86,IT-Software
826,80.0,Silver Touch,810.95,74.53,43.48,9.21,13.01,6.07,37.51,879.85,72.0,46.07,17.51,14746,294.2,354.28,7.69,1022.76,IT-Software
827,81.0,InfoBeans Tech.,373.8,74.04,19.7,10.5,-12.67,-9.91,-18.42,875.0,50.25,23.56,15.58,141961,337.04,64.55,2.74,914.72,IT-Software
829,83.0,Blue Cloud Soft.,19.01,35.48,65.47,9.4,-72.32,-54.78,31.55,130.5,3.13,20.83,0.91,524925,18.955299999999998,174.76,8.39,829.37,IT-Software
831,85.0,NINtec Systems,443.0,47.38,2.25,6.73,-20.88,-7.28,195.92,690.9,2.21,33.38,13.26,6948,442.6188,580.14,17.38,822.47,IT-Software
832,86.0,Subex,14.2,0.0,19.38,-17.6,-38.07,-51.37,-23.83,803.25,2.8,-25.357142857142854,-0.56,5828933,14.2,-66.6892857142857,2.63,799.26,IT-Software
833,87.0,Ksolves India,329.0,58.94,9.0,5.86,-31.44,-40.93,22.52,733.82,6.31,22.7,14.47,124022,355.18,853.07,37.58,779.08,IT-Software
834,88.0,Vertoz,9.0,64.74,22.64,7.35,-45.62,-76.07,28.32,45.25,2.39,31.5,0.29,239350,7.91,138.6,4.4,767.07,IT-Software
835,89.0,Innovana Think.,370.0,73.23,46.0,11.83,-24.51,-37.1,20.06,799.95,15.0,18.4,20.14,3397,582.56,75.62,4.11,759.64,IT-Software
837,91.0,Mindteck (India),233.8,64.36,0.32,7.93,-6.2,-10.58,26.22,368.2,9.16,25.08,8.92,151631,85.45,76.49,3.05,746.01,IT-Software
838,92.0,Alphalogic Tech.,117.75,73.78,8.74,1.63,-17.77,-43.93,102.55,310.11,3.16,154.9,0.76,20347,34.87,2551.2,16.47,737.32,IT-Software
839,93.0,Onward Technolog,312.85,38.66,32.16,10.41,0.03,-30.97,0.29,740.0,8.75,26.28,11.94,1305757,161.6,83.31,3.17,711.72,IT-Software
842,96.0,Aurum Proptech,193.15,49.89,273.34,-9.87,-11.92,28.2,29.12,741.47,8.88,-16.94298245614035,-11.4,68569,193.14999999999998,-34.90254385964912,2.06,565.12,IT-Software
843,97.0,IRIS Business,270.1,34.68,4.31,2.88,-32.98,49.27,50.14,577.0,11.55,42.79,6.34,14670,131.52,313.65,7.33,557.46,IT-Software
844,98.0,DigiSpice Tech.,22.73,72.96,61.29,-19.55,-19.27,-17.3,-9.82,152.05,2.8,72.08,0.46,253117,7.59,157.13,2.18,529.66,IT-Software
845,99.0,Bartronics India,17.2,75.0,0.2,-0.33,-9.72,-27.19,49.87,294.5,0.45,217.34,0.09,5904406,0.81,4140.33,19.05,525.95,IT-Software
846,100.0,Softtech Enginee,370.15,18.89,42.7,0.31,-5.42,5.39,49.54,612.05,32.1,216.2,1.98,7874,64.01,864.8,4.0,512.4,IT-Software
847,101.0,IZMO,327.75,35.0,3.59,6.06,-14.05,7.95,65.09,650.7,6.46,9.18,35.88,8253,441.25,13.04,1.42,487.51,IT-Software
848,102.0,Cybertech Sys.,157.0,36.43,6.68,9.6,-18.3,5.96,2.67,293.15,7.55,13.93,11.22,33518,244.28,27.58,1.98,486.57,IT-Software
849,103.0,Artificial Elect,279.1,35.14,4.06,1.92,-4.39,731.15,331.25,440.6,0.39,216.22,3.52,3234,3.48,140251.1,648.65,473.52,IT-Software
850,104.0,FCS Software,2.7,19.65,0.0,1.26,-18.43,-29.87,-5.51,15.45,0.05,49.4,0.02,3565986,0.55,52.86,1.07,459.88,IT-Software
851,105.0,XT Global Infot.,34.52,62.81,31.26,3.68,-21.16,-16.48,-13.35,81.7,0.33,47.55,0.71,9891,14.96,124.58,2.62,449.41,IT-Software
852,106.0,3i Infotech,25.49,0.0,63.51,26.9,-5.6,-35.03,-20.64,164.5,1.15,17.05,1.49,1158950,17.67,24.04,1.41,432.21,IT-Software
853,107.0,Inspirisys Sol.,105.5,69.95,84.5,12.26,-3.99,-3.14,24.54,192.9,16.45,15.78,8.01,120437,44.89,112.67,7.14,417.01,IT-Software
854,108.0,Alankit,15.28,54.15,32.8,5.2,-26.18,-17.17,5.35,88.75,0.02,18.74,0.82,390294,15.86,26.99,1.44,414.33,IT-Software
856,110.0,Trejhara Solutio,251.0,23.07,2.16,0.66,2.43,41.2,59.03,306.5,4.45,517.36,8.97,10821,104.97,848.47,1.64,367.32,IT-Software
858,112.0,Airan,28.17,72.34,0.79,1.99,-12.27,9.94,14.73,189.51,8.2,13.14,2.13,290929,26.61,31.67,2.41,351.03,IT-Software
860,114.0,Tera Software,279.3,47.53,28.88,2.13,70.14,438.68,89.93,290.0,12.05,43.71,6.27,90364,68.57,130.26,2.98,344.83,IT-Software
861,115.0,ABM Knowledge,167.9,66.92,0.0,6.11,34.16,50.58,19.05,237.7,3.16,21.0,8.0,1710,116.79,31.08,1.48,335.84,IT-Software
862,116.0,Sigma Solve,317.0,73.22,4.07,4.23,-5.23,-21.15,8.16,579.25,13.52,18.44,17.12,23175,461.69,158.77,8.61,324.4,IT-Software
864,118.0,Quint Digital,60.79,61.91,152.97,-2.38,-15.78,-31.85,-32.54,351.23,2.82,-8.79739507959479,-6.91,10994,60.78999999999999,-13.284066570188132,1.51,286.83,IT-Software
865,119.0,DRC Systems,20.17,22.4,0.13,3.55,-22.89,4.33,9.07,35.1,4.73,18.63,1.1,491266,28.95,88.68,4.76,272.44,IT-Software
866,120.0,Ace Soft. Exp.,213.45,68.21,6.26,1.8,-25.62,105.91,170.37,354.95,3.33,63.19,3.32,51251,35.99,545.33,8.63,268.54,IT-Software
868,122.0,Aion-Tech Soluti,75.25,58.86,11.78,-0.43,1.63,-39.86,10.5,272.8,2.38,30.84016393442623,2.44,292217,37.1,104.54815573770492,3.39,260.81,IT-Software
869,123.0,Intense Tech.,108.31,20.68,0.2,3.09,-17.47,-17.58,14.2,248.7,2.05,15.28,7.07,370753,177.59,27.66,1.81,253.65,IT-Software
870,124.0,Dev Information,111.85,66.63,24.83,1.82,-30.06,3.34,8.76,191.0,11.28,14.42,7.91,58314,118.1,55.52,3.85,252.42,IT-Software
871,125.0,Trigyn Techno.,80.95,44.51,4.15,1.23,-22.48,-28.42,-9.92,218.6,5.8,8.83,9.15,66236,162.31,3.09,0.35,249.64,IT-Software
873,127.0,Virinchi,22.62,37.51,320.02,3.71,-19.6,-43.67,-14.11,100.85,2.45,33.27,0.72,200689,18.11,15.97,0.48,231.88,IT-Software
875,129.0,Equippp Social,20.6,87.35,7.76,-0.3,-18.36,-27.29,-33.63,546.41,0.05,-1030.0,-0.02,13420,20.6,-36039.700000000004,34.99,207.21,IT-Software
876,130.0,Sofcom Systems,83.0,0.0,0.28,0.12,23.88,129.85,32.48,103.75,6.71,1674.1,0.05,601,0.94,61941.7,37.0,200.89,IT-Software
880,134.0,Atishay,146.3,74.99,4.41,2.36,-29.87,58.45,55.45,249.9,13.6,22.92,6.38,27640,89.24,75.87,3.31,160.66,IT-Software
883,137.0,R S Software (I),60.72,40.5,0.55,-2.48,-72.3,-74.88,29.19,415.01,3.54,18.09,3.38,64233,24.5,49.39,2.73,157.9,IT-Software
885,139.0,7Seas Enter.,69.5,31.32,1.17,0.53,-3.12,70.76,50.47,93.49,4.43,93.46,0.74,17558,30.59,802.82,8.59,155.14,IT-Software
886,140.0,Odyssey Tech.,93.6,54.67,0.0,1.71,-11.28,-10.83,21.64,180.1,2.53,34.3,2.73,47664,37.38,90.21,2.63,148.51,IT-Software
887,141.0,Xelpmoc Design,104.0,52.19,1.26,-2.09,-22.78,-30.19,-23.71,513.55,37.55,-11.778029445073612,-8.83,19971,104.0,-28.267270668176668,2.4,144.63,IT-Software
889,143.0,Secmark Consult.,125.4,74.71,6.56,3.93,25.07,14.06,27.88,145.37,17.72,31.03,4.08,10976,70.33,197.66,6.37,131.91,IT-Software
890,144.0,Edvenswa Enter,44.58,53.14,0.0,2.82,-27.71,-18.78,36.06,99.81,3.79,13.04,2.98,26602,166.59,18.13,1.39,130.24,IT-Software
891,145.0,Athena Global,92.5,61.44,101.45,-3.84,-3.8,5.27,8.56,129.89,5.34,0.63,147.57,11812,669.52,0.42,0.67,129.96,IT-Software
892,146.0,CG-VAK Software,257.0,53.87,3.24,2.68,-18.0,-28.44,-1.95,715.0,3.16,15.06,17.07,2803,380.67,29.37,1.95,129.79,IT-Software
895,149.0,Naapbooks,115.3,53.76,2.09,1.24,-10.1,94.76,79.31,159.0,16.04,53.02,2.59,2400,69.05,305.4,5.76,123.53,IT-Software
898,152.0,Vedavaag Systems,48.45,35.53,3.52,3.15,-29.0,-3.39,-1.73,92.45,5.24,11.24,4.41,28924,46.48,8.99,0.8,113.68,IT-Software
900,154.0,AAA Technologies,82.9,71.51,0.0,1.0,-24.23,-31.33,20.45,160.85,28.0,30.18,2.74,26322,30.78,104.12,3.45,105.96,IT-Software
902,156.0,Kati patang Life,29.0,49.06,15.91,-1.17,310.76,422.52,94.19,43.18,0.97,-21.16788321167883,-1.37,9974,29.0,-148.3868613138686,7.01,104.11,IT-Software
903,157.0,GSS Infotech,38.54,12.71,11.92,-0.88,-40.93,-64.12,-43.73,869.0,11.9,16.36,2.36,51075,50.36,4.74,0.29,101.07,IT-Software
904,158.0,GACM Tech,0.75,4.13,0.24,1.46,-12.94,-41.73,-1.74,62.55,0.19,39.45,0.02,8033814,0.28,68.25,1.73,99.01,IT-Software
905,159.0,Accel,17.16,71.23,70.52,0.29,-24.0,-31.88,-8.97,58.0,2.53,32.5,0.51,23780,22.48,49.08,1.51,98.8,IT-Software
906,160.0,Orchasp Ltd,3.09,11.62,0.0,0.5,1.32,-27.01,-19.62,18.9,0.47,-7.357142857142857,-0.42,220167,3.09,-6.400714285714285,0.87,98.74,IT-Software
907,161.0,Cambridge Tech.,49.88,50.91,127.49,-4.43,-43.83,-43.28,-7.23,162.4,3.0,-2.6976744186046515,-18.49,26900,49.88,-3.4800000000000004,1.29,97.65,IT-Software
909,163.0,SagarSoft (India,150.0,51.36,7.72,0.55,-17.85,-20.99,-5.33,302.0,12.5,17.69,9.59,3315,131.69,22.82,1.29,95.88,IT-Software
